208,0,100
688,160,100
1168,384,100
1568,592,100
1936,800,100
2016,880,100
2048,912,100
2080,912,100
2112,896,100
2384,1024,100
2368,1152,100
2336,1184,100
1184,1504,100
800,1632,100
800,1664,100
752,1680,100
736,1680,100
704,1664,100
704,1680,100
368,1824,100
352,1904,100
496,2048,100
544,2080,100
576,2096,100
608,2096,100
736,2176,100
768,2224,100
816,2256,100
864,2288,100
912,2304,100
944,2304,100
976,2304,100
1088,2368,100
1120,2400,100
1168,2432,100
1200,2432,100
1232,2464,100
1264,2496,100
1328,2496,100
1360,2528,100
1376,2560,100
1392,2576,100
1504,2528,100
1568,2592,100
1600,2640,100
1600,2656,100
1616,2672,100
1728,2736,100
1920,2832,100
1968,2880,100
2016,2896,100
2096,2960,100
2128,2992,100
2144,3008,100
2160,3024,100
2176,3024,100
2208,3024,100
2224,3024,100
2256,3008,100
2256,2992,100
2272,2976,100
2304,2976,100
2336,2976,100
2368,3024,100
2384,3040,100
2400,3056,100
2528,3088,100
2576,3056,100
