448,32,100
1392,512,100
2496,1040,100
2512,1072,100
2512,1088,100
2512,1104,100
2496,1104,100
2480,1120,100
2464,1136,100
2432,1136,100
2416,1152,100
1648,1360,100
1552,1408,100
1488,1456,100
1440,1472,100
1408,1472,100
1360,1472,100
1344,1488,100
1296,1488,100
1264,1504,100
1200,1536,100
1120,1584,100
992,1600,100
832,1616,100
576,1760,100
480,1760,100
432,1744,100
416,1728,100
384,1728,100
336,1728,100
288,1744,100
256,1744,100
224,1744,100
208,1776,100
208,1792,100
192,1824,100
208,1856,100
224,1872,100
240,1888,100
256,1888,100
272,1888,100
288,1888,100
304,1888,100
320,1888,100
336,1936,100
336,1952,100
368,1984,100
416,2000,100
448,2000,100
496,2000,100
544,2032,100
576,2080,100
592,2112,100
640,2112,100
688,2128,100
720,2128,100
848,2208,100
928,2272,100
1024,2304,100
1120,2320,100
1152,2304,100
1184,2352,100
1184,2384,100
1216,2432,100
1232,2464,100
1280,2480,100
1328,2480,100
1360,2480,100
1392,2496,100
1648,2624,100
1776,2704,100
1904,2784,100
2000,2832,100
2064,2816,100
2112,2848,100
2128,2864,100
2224,2976,100
2272,2992,100
2336,3008,100
2400,2992,100
2480,2992,100
2544,3024,100
2576,3040,100
